"subject","activity","bodyaccelerationtimexmean","bodyaccelerationtimeymean","bodyaccelerationtimezmean","bodyaccelerationtimexstddev","bodyaccelerationtimeystddev","bodyaccelerationtimezstddev","gravityaccelerationtimexmean","gravityaccelerationtimeymean","gravityaccelerationtimezmean","gravityaccelerationtimexstddev","gravityaccelerationtimeystddev","gravityaccelerationtimezstddev","bodyaccelerationjerktimexmean","bodyaccelerationjerktimeymean","bodyaccelerationjerktimezmean","bodyaccelerationjerktimexstddev","bodyaccelerationjerktimeystddev","bodyaccelerationjerktimezstddev","bodygyroscopictimexmean","bodygyroscopictimeymean","bodygyroscopictimezmean","bodygyroscopictimexstddev","bodygyroscopictimeystddev","bodygyroscopictimezstddev","bodygyroscopicjerktimexmean","bodygyroscopicjerktimeymean","bodygyroscopicjerktimezmean","bodygyroscopicjerktimexstddev","bodygyroscopicjerktimeystddev","bodygyroscopicjerktimezstddev","bodyaccelerationmagnitudetimemean","bodyaccelerationmagnitudetimestddev","gravityaccelerationmagnitudetimemean","gravityaccelerationmagnitudetimestddev","bodyaccelerationjerkmagnitudetimemean","bodyaccelerationjerkmagnitudetimestddev","bodygyroscopicmagnitudetimemean","bodygyroscopicmagnitudetimestddev","bodygyroscopicjerkmagnitudetimemean","bodygyroscopicjerkmagnitudetimestddev","bodyaccelerationfrequencyxmean","bodyaccelerationfrequencyymean","bodyaccelerationfrequencyzmean","bodyaccelerationfrequencyxstddev","bodyaccelerationfrequencyystddev","bodyaccelerationfrequencyzstddev","bodyaccelerationfrequencyxmeanfrequnecy","bodyaccelerationfrequencyymeanfrequnecy","bodyaccelerationfrequencyzmeanfrequnecy","bodyaccelerationjerkfrequencyxmean","bodyaccelerationjerkfrequencyymean","bodyaccelerationjerkfrequencyzmean","bodyaccelerationjerkfrequencyxstddev","bodyaccelerationjerkfrequencyystddev","bodyaccelerationjerkfrequencyzstddev","bodyaccelerationjerkfrequencyxmeanfrequnecy","bodyaccelerationjerkfrequencyymeanfrequnecy","bodyaccelerationjerkfrequencyzmeanfrequnecy","bodygyroscopicfrequencyxmean","bodygyroscopicfrequencyymean","bodygyroscopicfrequencyzmean","bodygyroscopicfrequencyxstddev","bodygyroscopicfrequencyystddev","bodygyroscopicfrequencyzstddev","bodygyroscopicfrequencyxmeanfrequnecy","bodygyroscopicfrequencyymeanfrequnecy","bodygyroscopicfrequencyzmeanfrequnecy","bodyaccelerationmagnitudefrequencymean","bodyaccelerationmagnitudefrequencystddev","bodyaccelerationmagnitudefrequencymeanfrequnecy","bodyaccelerationjerkmagnitudefrequencymean","bodyaccelerationjerkmagnitudefrequencystddev","bodyaccelerationjerkmagnitudefrequencymeanfrequnecy","bodygyroscopicmagnitudefrequencymean","bodygyroscopicmagnitudefrequencystddev","bodygyroscopicmagnitudefrequencymeanfrequnecy","bodygyroscopicjerkmagnitudefrequencymean","bodygyroscopicjerkmagnitudefrequencystddev","bodygyroscopicjerkmagnitudefrequencymeanfrequnecy"
"1",1,"LAYING",0.22159824394,-0.0405139534294,-0.11320355358,-0.9280564692,-0.83682740562,-0.826061401628,-0.24888179828,0.70554977346,0.4458177198,-0.8968300184,-0.90772000676,-0.85236629022,0.0810865342,0.0038382040088,0.010834236361,-0.958482112,-0.9241492736,-0.9548551108,-0.016553093978,-0.064486124088,0.14868943626,-0.87354386782,-0.9510904402,-0.9082846626,-0.107270949192,-0.04151728689,-0.0740501211,-0.9186085208,-0.9679072436,-0.9577901596,-0.8419291525,-0.79514486386,-0.8419291525,-0.79514486386,-0.9543962646,-0.9282456284,-0.874759548,-0.81901016976,-0.96346103,-0.9358409828,-0.9390990524,-0.86706520518,-0.8826668762,-0.9244374346,-0.8336255561,-0.81289155944,-0.158792670508,0.097534841586,0.08943765522,-0.9570738838,-0.9224626098,-0.9480609042,-0.9641607086,-0.9322178704,-0.9605869872,0.132419092398,0.024513618956,0.02438794528,-0.850249174586,-0.9521914948,-0.909302721,-0.8822964508,-0.9512320494,-0.9165825082,-0.003546795856,-0.091529130882,0.01045812566,-0.8617676481,-0.7983009404,0.08640856294,-0.9333003608,-0.9218039756,0.26639115416,-0.8621901854,-0.82431943968,-0.1397750127,-0.9423669466,-0.9326606676,0.17648590708
"2",1,"SITTING",0.261237565425532,-0.00130828765170213,-0.104544182255319,-0.977229008297872,-0.922618641914894,-0.93958629106383,0.831509933404255,0.204411592680851,0.332043702765957,-0.968457145744681,-0.935517055957447,-0.949040933191489,0.0774825199574468,-0.000619102785106384,-0.00336779235021277,-0.986430711276596,-0.981371965319149,-0.987910804468085,-0.045350056512766,-0.0919241549361702,0.0629313811914894,-0.977211283191489,-0.966473895319149,-0.941425920851064,-0.0936793807234043,-0.0402118124255319,-0.046702627,-0.99173159212766,-0.989518068510638,-0.987935806382979,-0.948536786170213,-0.927078418723404,-0.948536786170213,-0.927078418723404,-0.987364195531915,-0.984120024042553,-0.93089249,-0.934531840425532,-0.991976341276596,-0.988308728510638,-0.979641238723404,-0.944084550425532,-0.959184889148936,-0.976412313191489,-0.917275006382979,-0.934469558085106,-0.0495135975489362,0.0759460768510638,0.238829870148936,-0.986597022553191,-0.981579467021277,-0.986053092340425,-0.987492994468085,-0.982513909574468,-0.988339184893617,0.256610823568085,0.0475437839595745,0.0923920032553192,-0.976161464042553,-0.975838585319149,-0.951315544468085,-0.977904227021277,-0.962345042553192,-0.94391784106383,0.189153021260851,0.0631270669787234,-0.0297839207446809,-0.947782922553192,-0.928444801702128,0.236655011680851,-0.985262126808511,-0.981606177446808,0.351852201957447,-0.958435589361702,-0.932198374893617,-0.000262186717021277,-0.989797547234043,-0.987049617234043,0.184775928085106
"3",1,"STANDING",0.278917629056604,-0.0161375901037736,-0.110601817735849,-0.995759901509434,-0.973190056415094,-0.979775876981132,0.942952000377358,-0.272983832264151,0.0134905823226415,-0.99376298509434,-0.981225957924528,-0.976324063584906,0.0753766542264151,0.00797573092830189,-0.00368524954709434,-0.994604542264151,-0.98564873245283,-0.992251177358491,-0.0239877347979245,-0.0593972209811321,0.074800751,-0.987191946603774,-0.98773444,-0.980645626981132,-0.0996092129056604,-0.0440627877924528,-0.0489505466716981,-0.992945106981132,-0.995137917358491,-0.992108467169811,-0.984278207358491,-0.981942928867925,-0.984278207358491,-0.981942928867925,-0.992367790566038,-0.993096209433962,-0.976493792830189,-0.978690028679245,-0.994966790566038,-0.994733238679245,-0.995249932641509,-0.977070847735849,-0.985297098679245,-0.99602834509434,-0.972293102075472,-0.977937259622642,0.0865153619088679,0.117478948718868,0.244858585792453,-0.994630797358491,-0.985418704528302,-0.990752166037736,-0.995073759245283,-0.987018226792453,-0.992349818113208,0.314182940150943,0.0391618954943396,0.138581478749057,-0.986386786037736,-0.988984455849057,-0.980773122830189,-0.987497128679245,-0.987107727735849,-0.98234533,-0.120293020603774,-0.0447191978169811,0.100607635139623,-0.985356361132075,-0.982313804716981,0.284555290773585,-0.99254247754717,-0.992536003396226,0.422220102264151,-0.984617623396226,-0.978466072075472,-0.0286057725328302,-0.994815376981132,-0.994671123207547,0.334498734301887
"4",1,"WALKING",0.277330758736842,-0.0173838185273684,-0.111148103547368,-0.283740258842105,0.114461336747368,-0.260027902210526,0.935223201473684,-0.282165021263158,-0.068102864,-0.976609642526316,-0.971305961473684,-0.947717226105263,0.0740416333157895,0.0282721095884211,-0.00416840617789474,-0.113615602435789,0.0670025007684211,-0.502699788526316,-0.041830963526,-0.0695300462115789,0.0849448173042105,-0.473535485894737,-0.0546077686594737,-0.344266629473684,-0.0899975423705263,-0.0398428709463158,-0.0461309295021053,-0.207421854757895,-0.304468510631579,-0.404255452631579,-0.136971176556842,-0.219688645631579,-0.136971176556842,-0.219688645631579,-0.141428809031579,-0.0744717500625263,-0.160979552536842,-0.186978364526316,-0.298703679084211,-0.325324878894737,-0.202794306326316,0.0897127264021053,-0.331560117789474,-0.319134719578947,0.056040006846,-0.279686751494737,-0.207548374494737,0.113093646103158,0.0497265196172632,-0.170546964549579,-0.0352255241130632,-0.468999224631579,-0.133586606326316,0.106739857136,-0.534713440421053,-0.209261973376842,-0.386237143210526,-0.185530281244211,-0.339032197115789,-0.103059416434737,-0.255940940315789,-0.516691938736842,-0.0335081597884211,-0.436562227473684,0.0147844986621053,-0.0657746190010526,0.00077332156431579,-0.128623450629474,-0.398032586842105,0.1906437244,-0.0571194000343158,-0.103492403002105,0.0938221807027368,-0.199252568986316,-0.321017953894737,0.268844367525895,-0.319308593778947,-0.381601911789474,0.190663448793684
"5",1,"WALKING_DOWNSTAIRS",0.289188320408163,-0.00991850461020408,-0.107566190908163,0.0300353383483878,-0.0319359434489796,-0.230434213204082,0.931874418979592,-0.266610338979592,-0.0621199585938775,-0.950559811632653,-0.937018658979592,-0.895939695102041,0.0541553164897959,0.0296504490408163,-0.0109719730183673,-0.012283860544898,-0.101601390640816,-0.345735032326531,-0.0350781902989796,-0.0909371290204082,0.0900850142030612,-0.458030542938775,-0.126349194938775,-0.124702454242857,-0.0739592036271429,-0.0439902783367347,-0.0270461061061224,-0.487027342244898,-0.238824827530612,-0.268761480242857,0.0271882914106122,0.0198843506265306,0.0271882914106122,0.0198843506265306,-0.0894474807979592,-0.0257877197081633,-0.0757412543673469,-0.225724368061224,-0.295463843346939,-0.306510645530612,0.0382291831510204,0.00154990783591837,-0.225574471693878,0.0243308391387755,-0.112963739953061,-0.297927894693878,-0.307395198687755,0.0632200839346939,0.294322700810612,-0.0276638676122449,-0.12866715764898,-0.288334735714286,-0.0863278966402041,-0.134580008877551,-0.401721464285714,-0.253164344918367,-0.33758970122449,0.00937223889183673,-0.352449631363265,-0.0557022524693878,-0.0318694271979592,-0.495422486102041,-0.181414728657143,-0.238443565306122,-0.100453729040816,0.0825511487183673,-0.0756762067714286,0.0965845343040816,-0.186530301073469,0.119187142767959,0.0262184949326531,-0.104052260726531,0.0764915474326531,-0.185720285744898,-0.398350390122449,0.349613895469388,-0.281963359177551,-0.391919876612245,0.190000706165102
"6",1,"WALKING_UPSTAIRS",0.255461689622641,-0.0239531492643396,-0.0973020020943396,-0.35470802509434,-0.00232026501698113,-0.0194792388471698,0.89335109754717,-0.362153364339623,-0.075402939754717,-0.956367027924528,-0.952849233207547,-0.912379410377358,0.101372729922642,0.0194863076188679,-0.0455625449113208,-0.446843887735849,-0.378274426037736,-0.706593530943396,0.050549379754717,-0.166170015088679,0.0583595463981132,-0.544871104528302,0.00410518379811321,-0.50716867490566,-0.122232768011321,-0.0421485884509434,-0.0407125527654717,-0.614786508490566,-0.601696656226415,-0.606332002264151,-0.129927630735849,-0.324970929245283,-0.129927630735849,-0.324970929245283,-0.466503446226415,-0.478991622075472,-0.126735589969811,-0.14861931805283,-0.59488286509434,-0.648553044339623,-0.404321784150943,-0.190976720811321,-0.433349702075472,-0.337428188679245,0.0217695106566038,0.0859565543849057,-0.418735000377359,-0.160697213516981,-0.520114793584906,-0.479875245660377,-0.41344458754717,-0.685474353962264,-0.461907025849057,-0.381777065283019,-0.726040200754717,-0.377023128301887,-0.509495531698113,-0.551104284150943,-0.492611667924528,-0.319474609056604,-0.453597213018868,-0.565892490754717,0.151538905566038,-0.57170784,-0.187450247737736,-0.473574786603774,-0.133373904258491,-0.352395944716981,-0.416260101509434,-0.0977433496415094,-0.44265216245283,-0.533059853773585,0.085352409154717,-0.325961457396226,-0.182985518264151,-0.219303376110566,-0.634665082075472,-0.693930521509434,0.114277342454717
"7",2,"LAYING",0.281373397916667,-0.0181587390208333,-0.107245613333333,-0.974059460416667,-0.9802774,-0.98423329375,-0.5097542375,0.752536633333333,0.646834879166667,-0.959014441666667,-0.988211860416667,-0.984230416666667,0.082597249375,0.01225478844375,-0.00180264863125,-0.9858721625,-0.9831725375,-0.988442010416667,-0.0184766054375,-0.111800823333333,0.144882847708333,-0.988275235416667,-0.982291608333333,-0.9603065625,-0.101974136041667,-0.0358590176041667,-0.0701783025,-0.9932358625,-0.989567539583333,-0.988035822916667,-0.97743548125,-0.972873910416667,-0.97743548125,-0.972873910416667,-0.987741695833333,-0.985518083333333,-0.950011575,-0.961164047916667,-0.991767070833333,-0.98971809375,-0.976725052083333,-0.97980088125,-0.984380985416667,-0.9732464875,-0.981025110416667,-0.984792185416667,-0.146482792791667,0.257289475,0.40253256,-0.985813633333333,-0.98276825,-0.986197133333333,-0.987250258333333,-0.984987385416667,-0.98934536875,0.159808329293125,0.121206422875,0.190558213958333,-0.986431141666667,-0.983321633333333,-0.962671889583333,-0.988860689583333,-0.981910614583333,-0.96317421875,0.1026113251875,0.0422806696875,0.0552985928958333,-0.975110195833333,-0.975121385416667,0.2662982125,-0.985374116666667,-0.984568485416667,0.341758570625,-0.972112972916667,-0.96109838125,0.0185644750625,-0.990248697916667,-0.98949266875,0.264801504583333
"8",2,"SITTING",0.27708735,-0.0156879945652174,-0.109218272826087,-0.98682227826087,-0.950704506521739,-0.959828173913043,0.940477273913043,-0.105630020456304,0.198726767173913,-0.979988763043478,-0.95675027826087,-0.95441587173913,0.0722564386956522,0.0116954504065217,0.00760547060652174,-0.988055843478261,-0.977983954347826,-0.987518208695652,-0.0454706623913043,-0.0599286810652174,0.0412277423913043,-0.98574202826087,-0.978919530434783,-0.959803715217391,-0.0936328384782609,-0.0415602026086957,-0.0435850965,-0.989709023913043,-0.990889608695652,-0.98554232173913,-0.967893619565217,-0.953081441304348,-0.967893619565217,-0.953081441304348,-0.986774710869565,-0.984475876086957,-0.946035084782609,-0.961313626086956,-0.991081493478261,-0.989594923913043,-0.985803843478261,-0.9573435,-0.970162176086957,-0.987362089130435,-0.950073756521739,-0.956862865217391,0.0851928188586956,0.150193962456522,0.0960646720869565,-0.987848793478261,-0.977139702173913,-0.98512905,-0.989459110869565,-0.980804232608696,-0.988570806521739,0.305546818043478,0.0262448603304348,0.092903066326087,-0.982621393478261,-0.98210092173913,-0.95981482173913,-0.986808497826087,-0.977356189130435,-0.963522656521739,0.130523119565217,-0.192142743043478,0.0409472395565217,-0.961273745652174,-0.955575604347826,0.13093420223913,-0.983874702173913,-0.984124180434783,0.280062431304348,-0.971840593478261,-0.96138575,-0.1063589135,-0.98986195,-0.989632904347826,0.19472215323913
"9",2,"STANDING",0.277911468518519,-0.0184208262592593,-0.105908536296296,-0.987271890740741,-0.957304988888889,-0.949741853703704,0.896928572222222,-0.370062696296296,0.129747161296296,-0.98668582037037,-0.97419442037037,-0.945927085185185,0.0747588588888889,0.0103291768907407,-0.00837158790185185,-0.981085712962963,-0.971059437037037,-0.982841448148148,-0.0238623868611111,-0.082039657037037,0.0878351718703704,-0.972998635185185,-0.971442003703704,-0.964856701851852,-0.105562152407407,-0.0422419531481481,-0.0546539480740741,-0.979324001851852,-0.983447259259259,-0.97361012037037,-0.965875185185185,-0.957874972222222,-0.965875185185185,-0.957874972222222,-0.980489074074074,-0.976675283333333,-0.963466335185185,-0.953943366666667,-0.983951901851852,-0.97720442962963,-0.983946733333333,-0.959871701851852,-0.962471188888889,-0.989056466666667,-0.957908842592593,-0.946433587037037,0.108519189462963,0.0623378076592593,0.104462502444444,-0.980973244444444,-0.970851333333333,-0.97977515,-0.98300792962963,-0.973520238888889,-0.984599901851852,0.331449284814815,-0.0569368298148148,0.0396498193333333,-0.967037107407407,-0.972576159259259,-0.960627696296296,-0.97498812962963,-0.971036044444444,-0.969754298148148,-0.107416044259259,-0.17116037437037,0.000226811890740739,-0.964052162962963,-0.960519387037037,0.119649963314815,-0.977065296296296,-0.975160462962963,0.304871864018519,-0.961775905555556,-0.95678872037037,-0.0661266008518518,-0.977849825925926,-0.9777543,0.160662823148148
"10",2,"WALKING",0.276426586440678,-0.0185949201322034,-0.105500356610169,-0.42364283220339,-0.0780912525423729,-0.425257522033898,0.913017337288136,-0.346607089830508,0.0847270818644068,-0.972693208474576,-0.972116881355932,-0.972072847457627,0.061808067140678,0.0182492673050847,0.00789534006779661,-0.277530467440678,-0.0166022329661017,-0.586090415254237,-0.0530258144740678,-0.0482382286949153,0.0828336647457627,-0.561550252542373,-0.538453666101695,-0.481085538983051,-0.081883342559322,-0.0538299391525424,-0.0514939145084746,-0.389549830508475,-0.634140437288136,-0.435492676271186,-0.290407591525424,-0.42254416779661,-0.290407591525424,-0.42254416779661,-0.281424150847458,-0.164150980601695,-0.446549093220339,-0.553019915254237,-0.547911947457627,-0.557798155932203,-0.346048162711864,-0.0219048073728814,-0.45380636779661,-0.457651386440678,-0.169219681864407,-0.455222145762712,-0.145795491661017,0.198586465254237,0.0688995205932203,-0.304615320338983,-0.0787640825423729,-0.554956708474576,-0.314313065762712,-0.0153329557288136,-0.615898188135593,-0.0727101601542373,-0.263574018542373,-0.25484643959322,-0.429713533898305,-0.554772116949153,-0.396659910169492,-0.604053025423729,-0.533046950847458,-0.55985663559322,0.00727967889830509,-0.0427009322033898,0.139752116644068,-0.324289427118644,-0.577105216949153,0.393206216949153,-0.169064352559322,-0.164091965186441,0.207500928830508,-0.530704816949153,-0.651792844067797,0.305283824915254,-0.583249296610169,-0.558104557627119,0.126344613816949
